timestamp,pod,container,app,cpu_cores,memory_mib
2026-09-21T23:28:45.445Z,prometheus-59f5cf7468-mtx8z,prometheus,,0.000799981,21.4375
2026-09-21T23:28:45.445Z,rabbitmq-5cdf8f76b7-bwghx,rabbitmq,,0.491046363,111.664062
2026-09-21T23:28:45.445Z,worker-5b55666b44-rqchq,worker,worker,0.000423984,66.625
2026-09-21T23:28:50.445Z,api-5b87c4c9d-nfcrm,api,api,0.004895604,76.511719
2026-09-21T23:28:50.445Z,gateway-856744bb66-hzcvr,gateway,gateway,0.008856525,478.324219
2026-09-21T23:28:50.445Z,jaeger-7cc9b664cc-jt9fj,jaeger,,0.002202799,12.375
2026-09-21T23:28:50.445Z,otel-collector-7c765745bf-q69jh,otel-collector,,0.001760289,14.816406
2026-09-21T23:28:50.445Z,postgres-676cc4986c-65g8j,postgres,,0.01086848,50.761719
2026-09-21T23:28:50.445Z,prometheus-59f5cf7468-mtx8z,prometheus,,0.000799981,21.4375
2026-09-21T23:28:50.445Z,rabbitmq-5cdf8f76b7-bwghx,rabbitmq,,0.491046363,111.664062
2026-09-21T23:28:50.445Z,worker-5b55666b44-rqchq,worker,worker,0.000423984,66.625
2026-09-21T23:28:55.445Z,api-5b87c4c9d-nfcrm,api,api,0.004952487,76.511719
2026-09-21T23:28:55.445Z,gateway-856744bb66-hzcvr,gateway,gateway,0.00902964,478.769531
2026-09-21T23:28:55.445Z,jaeger-7cc9b664cc-jt9fj,jaeger,,0.001930815,12.375
2026-09-21T23:28:55.445Z,otel-collector-7c765745bf-q69jh,otel-collector,,0.002040039,14.816406
2026-09-21T23:28:55.445Z,postgres-676cc4986c-65g8j,postgres,,0.016941538,50.761719
2026-09-21T23:28:55.445Z,prometheus-59f5cf7468-mtx8z,prometheus,,0.000577707,21.4375
2026-09-21T23:28:55.445Z,rabbitmq-5cdf8f76b7-bwghx,rabbitmq,,0.477273345,111.664062
2026-09-21T23:28:55.445Z,worker-5b55666b44-rqchq,worker,worker,0.000423837,66.625
2026-09-21T23:29:00.446Z,api-5b87c4c9d-nfcrm,api,api,0.004952487,76.511719
2026-09-21T23:29:00.446Z,gateway-856744bb66-hzcvr,gateway,gateway,0.00902964,478.769531
2026-09-21T23:29:00.446Z,jaeger-7cc9b664cc-jt9fj,jaeger,,0.001930815,12.375
2026-09-21T23:29:00.446Z,otel-collector-7c765745bf-q69jh,otel-collector,,0.002040039,14.816406
2026-09-21T23:29:00.446Z,postgres-676cc4986c-65g8j,postgres,,0.016941538,50.761719
2026-09-21T23:29:00.446Z,prometheus-59f5cf7468-mtx8z,prometheus,,0.000577707,21.4375
2026-09-21T23:29:00.446Z,rabbitmq-5cdf8f76b7-bwghx,rabbitmq,,0.477273345,111.664062
2026-09-21T23:29:00.446Z,worker-5b55666b44-rqchq,worker,worker,0.000423837,66.625
2026-09-21T23:29:05.446Z,api-5b87c4c9d-nfcrm,api,api,0.004952487,76.511719
2026-09-21T23:29:05.446Z,gateway-856744bb66-hzcvr,gateway,gateway,0.00902964,478.769531
2026-09-21T23:29:05.446Z,jaeger-7cc9b664cc-jt9fj,jaeger,,0.001930815,12.375
2026-09-21T23:29:05.446Z,otel-collector-7c765745bf-q69jh,otel-collector,,0.002040039,14.816406
2026-09-21T23:29:05.446Z,postgres-676cc4986c-65g8j,postgres,,0.016941538,50.761719
2026-09-21T23:29:05.446Z,prometheus-59f5cf7468-mtx8z,prometheus,,0.000577707,21.4375
2026-09-21T23:29:05.446Z,rabbitmq-5cdf8f76b7-bwghx,rabbitmq,,0.477273345,111.664062
2026-09-21T23:29:05.446Z,worker-5b55666b44-rqchq,worker,worker,0.000423837,66.625
2026-09-21T23:29:10.446Z,api-5b87c4c9d-nfcrm,api,api,0.004809773,76.511719
2026-09-21T23:29:10.446Z,gateway-856744bb66-hzcvr,gateway,gateway,0.008849144,478.847656
2026-09-21T23:29:10.446Z,jaeger-7cc9b664cc-jt9fj,jaeger,,0.00202945,12.375
2026-09-21T23:29:10.446Z,otel-collector-7c765745bf-q69jh,otel-collector,,0.001819699,14.816406
2026-09-21T23:29:10.446Z,postgres-676cc4986c-65g8j,postgres,,0.012103147,50.761719
2026-09-21T23:29:10.446Z,prometheus-59f5cf7468-mtx8z,prometheus,,0.000587214,21.4375
2026-09-21T23:29:10.446Z,rabbitmq-5cdf8f76b7-bwghx,rabbitmq,,0.542417353,111.671875
2026-09-21T23:29:10.446Z,worker-5b55666b44-rqchq,worker,worker,0.000423837,66.625
2026-09-21T23:29:15.447Z,api-5b87c4c9d-nfcrm,api,api,0.004809773,76.511719
2026-09-21T23:29:15.447Z,gateway-856744bb66-hzcvr,gateway,gateway,0.008849144,478.847656
2026-09-21T23:29:15.447Z,jaeger-7cc9b664cc-jt9fj,jaeger,,0.00202945,12.375
2026-09-21T23:29:15.447Z,otel-collector-7c765745bf-q69jh,otel-collector,,0.001819699,14.816406
2026-09-21T23:29:15.447Z,postgres-676cc4986c-65g8j,postgres,,0.012103147,50.761719
2026-09-21T23:29:15.447Z,prometheus-59f5cf7468-mtx8z,prometheus,,0.000587214,21.4375
2026-09-21T23:29:15.447Z,rabbitmq-5cdf8f76b7-bwghx,rabbitmq,,0.542417353,111.671875
2026-09-21T23:29:15.447Z,worker-5b55666b44-rqchq,worker,worker,0.000423837,66.625
2026-09-21T23:29:20.447Z,api-5b87c4c9d-nfcrm,api,api,0.004809773,76.511719
2026-09-21T23:29:20.447Z,gateway-856744bb66-hzcvr,gateway,gateway,0.008849144,478.847656
2026-09-21T23:29:20.447Z,jaeger-7cc9b664cc-jt9fj,jaeger,,0.00202945,12.375
2026-09-21T23:29:20.447Z,otel-collector-7c765745bf-q69jh,otel-collector,,0.001819699,14.816406
2026-09-21T23:29:20.447Z,postgres-676cc4986c-65g8j,postgres,,0.012103147,50.761719
2026-09-21T23:29:20.447Z,prometheus-59f5cf7468-mtx8z,prometheus,,0.000587214,21.4375
2026-09-21T23:29:20.447Z,rabbitmq-5cdf8f76b7-bwghx,rabbitmq,,0.542417353,111.671875
2026-09-21T23:29:20.447Z,worker-5b55666b44-rqchq,worker,worker,0.000423837,66.625
2026-09-21T23:29:25.448Z,api-5b87c4c9d-nfcrm,api,api,0.010293356,76.523438
2026-09-21T23:29:25.448Z,gateway-856744bb66-hzcvr,gateway,gateway,0.008849144,478.847656
2026-09-21T23:29:25.448Z,jaeger-7cc9b664cc-jt9fj,jaeger,,0.00202945,12.375
2026-09-21T23:29:25.448Z,otel-collector-7c765745bf-q69jh,otel-collector,,0.002059532,13.871094
2026-09-21T23:29:25.448Z,postgres-676cc4986c-65g8j,postgres,,0.02282494,52.921875
2026-09-21T23:29:25.448Z,prometheus-59f5cf7468-mtx8z,prometheus,,0.000582228,21.4375
2026-09-21T23:29:25.448Z,rabbitmq-5cdf8f76b7-bwghx,rabbitmq,,0.474246054,111.9375
2026-09-21T23:29:25.448Z,worker-5b55666b44-rqchq,worker,worker,0.000641769,66.625
2026-09-21T23:29:30.448Z,api-5b87c4c9d-nfcrm,api,api,0.010293356,76.523438
2026-09-21T23:29:30.448Z,gateway-856744bb66-hzcvr,gateway,gateway,0.008849144,478.847656
2026-09-21T23:29:30.448Z,jaeger-7cc9b664cc-jt9fj,jaeger,,0.00202945,12.375
2026-09-21T23:29:30.448Z,otel-collector-7c765745bf-q69jh,otel-collector,,0.002059532,13.871094
2026-09-21T23:29:30.448Z,postgres-676cc4986c-65g8j,postgres,,0.02282494,52.921875
2026-09-21T23:29:30.448Z,prometheus-59f5cf7468-mtx8z,prometheus,,0.000582228,21.4375
2026-09-21T23:29:30.448Z,rabbitmq-5cdf8f76b7-bwghx,rabbitmq,,0.474246054,111.9375
2026-09-21T23:29:30.448Z,worker-5b55666b44-rqchq,worker,worker,0.000641769,66.625
2026-09-21T23:29:35.449Z,api-5b87c4c9d-nfcrm,api,api,0.010293356,76.523438
2026-09-21T23:29:35.449Z,gateway-856744bb66-hzcvr,gateway,gateway,0.008849144,478.847656
2026-09-21T23:29:35.449Z,jaeger-7cc9b664cc-jt9fj,jaeger,,0.00202945,12.375
2026-09-21T23:29:35.449Z,otel-collector-7c765745bf-q69jh,otel-collector,,0.002059532,13.871094
2026-09-21T23:29:35.449Z,postgres-676cc4986c-65g8j,postgres,,0.02282494,52.921875
2026-09-21T23:29:35.449Z,prometheus-59f5cf7468-mtx8z,prometheus,,0.000582228,21.4375
2026-09-21T23:29:35.449Z,rabbitmq-5cdf8f76b7-bwghx,rabbitmq,,0.474246054,111.9375
2026-09-21T23:29:35.449Z,worker-5b55666b44-rqchq,worker,worker,0.000641769,66.625
2026-09-21T23:29:40.449Z,api-5b87c4c9d-nfcrm,api,api,0.175180882,76.617188
2026-09-21T23:29:40.449Z,gateway-856744bb66-hzcvr,gateway,gateway,0.012737986,479.9375
2026-09-21T23:29:40.449Z,jaeger-7cc9b664cc-jt9fj,jaeger,,0.001804603,12.375
2026-09-21T23:29:40.449Z,k6-c4-exploratory-002-mtvvr,k6,,0.05504053,38.203125
2026-09-21T23:29:40.449Z,otel-collector-7c765745bf-q69jh,otel-collector,,0.002518453,15.019531
