timestamp,messages_ready,messages_unacknowledged,messages,publish_total,ack_total,consumers,consumer_capacity
2026-06-25T18:46:47Z,0,0,0,9076,9476,1,0.9999496145598692
2026-06-25T18:46:54Z,0,0,0,9076,9476,1,0.9999496145598692
2026-06-25T18:47:01Z,0,0,0,9076,9476,1,0.9999496145598692
2026-06-25T18:47:09Z,0,0,0,9076,9476,1,0.9999496145598692
2026-06-25T18:47:15Z,0,0,0,9076,9476,1,0.9999496145598692
2026-06-25T18:47:22Z,0,0,0,9077,9479,1,0.9999496145598692
2026-06-25T18:47:29Z,0,0,0,9084,9486,1,1.0
2026-06-25T18:47:36Z,0,0,0,9100,9502,1,1.0
2026-06-25T18:47:43Z,0,0,0,9111,9513,1,1.0
2026-06-25T18:47:50Z,0,0,0,9139,9541,1,1.0
2026-06-25T18:47:57Z,0,0,0,9157,9559,1,1.0
2026-06-25T18:48:04Z,0,0,0,9178,9579,1,1.0
2026-06-25T18:48:12Z,0,0,0,9226,9628,1,1.0
2026-06-25T18:48:19Z,0,0,0,9254,9656,1,1.0
2026-06-25T18:48:25Z,0,0,0,9317,9719,1,1.0
2026-06-25T18:48:32Z,0,1,1,9353,9755,1,1.0
2026-06-25T18:48:39Z,0,1,1,9391,9792,1,1.0
2026-06-25T18:48:46Z,0,1,1,9442,9844,1,1.0
2026-06-25T18:48:53Z,0,1,1,9444,9846,1,1.0
2026-06-25T18:49:01Z,0,1,1,9444,9846,1,1.0
2026-06-25T18:49:07Z,0,1,1,9444,9846,1,1.0
2026-06-25T18:49:15Z,0,1,1,9444,9846,1,1.0
2026-06-25T18:49:22Z,0,1,1,9444,9846,1,1.0
2026-06-25T18:49:29Z,0,1,1,9444,9846,1,1.0
2026-06-25T18:49:35Z,0,0,0,9444,9846,1,1.0
2026-06-25T18:49:42Z,0,0,0,9444,9846,1,1.0
