timestamp,messages_ready,messages_unacknowledged,messages,consumers,publish_total,confirm_total
2026-09-20T23:30:10.812Z,0,0,0,1,0,0
2026-09-20T23:30:15.750Z,0,0,0,1,0,0
2026-09-20T23:30:20.767Z,0,0,0,1,0,0
2026-09-20T23:30:25.754Z,0,0,0,1,0,0
2026-09-20T23:30:30.758Z,0,0,0,1,0,0
2026-09-20T23:30:35.774Z,0,0,0,1,0,0
2026-09-20T23:30:40.762Z,0,0,0,1,0,0
2026-09-20T23:30:45.790Z,0,0,0,1,0,0
2026-09-20T23:30:50.769Z,0,0,0,1,0,0
2026-09-20T23:30:55.762Z,0,0,0,1,0,0
2026-09-20T23:31:00.750Z,0,0,0,1,0,0
2026-09-20T23:31:05.775Z,0,0,0,1,0,0
2026-09-20T23:31:10.858Z,0,0,0,1,0,0
2026-09-20T23:31:15.802Z,0,0,0,1,0,0
2026-09-20T23:31:20.850Z,0,0,0,1,4,0
2026-09-20T23:31:25.762Z,0,0,0,1,31,0
2026-09-20T23:31:30.809Z,0,0,0,1,82,0
2026-09-20T23:31:35.812Z,0,1,1,1,156,0
2026-09-20T23:31:40.811Z,0,0,0,1,166,0
2026-09-20T23:31:45.806Z,0,0,0,1,266,0
2026-09-20T23:31:50.779Z,0,0,0,1,368,0
2026-09-20T23:31:55.787Z,0,0,0,1,467,0
2026-09-20T23:32:00.851Z,0,0,0,1,568,0
2026-09-20T23:32:05.848Z,0,1,1,1,667,0
2026-09-20T23:32:10.906Z,0,1,1,1,769,0
2026-09-20T23:32:15.804Z,0,0,0,1,857,0
2026-09-20T23:32:20.806Z,0,1,1,1,943,0
2026-09-20T23:32:25.804Z,0,0,0,1,1029,0
2026-09-20T23:32:30.803Z,0,1,1,1,1123,0
2026-09-20T23:32:35.767Z,0,0,0,1,1214,0
2026-09-20T23:32:40.803Z,0,0,0,1,1310,0
2026-09-20T23:32:45.783Z,0,0,0,1,1400,0
2026-09-20T23:32:50.761Z,0,0,0,1,1432,0
2026-09-20T23:32:55.779Z,0,0,0,1,1432,0
2026-09-20T23:33:00.801Z,0,0,0,1,1432,0
2026-09-20T23:33:05.749Z,0,0,0,1,1432,0
2026-09-20T23:33:10.801Z,0,0,0,1,1432,0
2026-09-20T23:33:15.796Z,0,0,0,1,1432,0
2026-09-20T23:33:20.775Z,0,0,0,1,1432,0
2026-09-20T23:33:25.764Z,0,0,0,1,1432,0
2026-09-20T23:33:30.762Z,0,0,0,1,1432,0
2026-09-20T23:33:35.762Z,0,0,0,1,1432,0
2026-09-20T23:33:40.758Z,0,0,0,1,1432,0
2026-09-20T23:33:45.781Z,0,0,0,1,1432,0
2026-09-20T23:33:50.799Z,0,0,0,1,1432,0
2026-09-20T23:33:55.762Z,0,0,0,1,1432,0
