timestamp,messages_ready,messages_unacknowledged,messages,publish_total,ack_total,consumers,consumer_capacity
2026-06-25T18:52:26Z,0,0,0,9444,9846,1,1.0
2026-06-25T18:52:34Z,0,0,0,9444,9846,1,1.0
2026-06-25T18:52:41Z,0,0,0,9444,9846,1,1.0
2026-06-25T18:52:48Z,0,0,0,9444,9846,1,1.0
2026-06-25T18:52:55Z,0,0,0,9444,9846,1,1.0
2026-06-25T18:53:02Z,0,0,0,9454,9856,1,1.0
2026-06-25T18:53:09Z,0,0,0,9476,9877,1,1.0
2026-06-25T18:53:16Z,0,0,0,9553,9954,1,1.0
2026-06-25T18:53:23Z,0,0,0,9563,10008,1,1.0
2026-06-25T18:53:30Z,0,1,1,9625,10071,1,1.0
2026-06-25T18:53:37Z,0,0,0,9775,10220,1,1.0
2026-06-25T18:53:44Z,0,1,1,9862,10308,1,1.0
2026-06-25T18:53:51Z,0,0,0,10062,10507,1,1.0
2026-06-25T18:53:58Z,0,1,1,10174,10620,1,1.0
2026-06-25T18:54:05Z,0,0,0,10295,10740,1,1.0
2026-06-25T18:54:12Z,0,1,1,10562,11007,1,1.0
2026-06-25T18:54:19Z,0,0,0,10708,11153,1,1.0
2026-06-25T18:54:26Z,0,0,0,10859,11305,1,1.0
2026-06-25T18:54:33Z,0,0,0,10859,11305,1,1.0
