timestamp,messages_ready,messages_unacknowledged,messages,consumers,publish_total,confirm_total
2026-09-09T20:44:38.403Z,0,0,0,1,3331,0
2026-09-09T20:44:43.338Z,0,0,0,1,3331,0
2026-09-09T20:44:48.351Z,0,0,0,1,3331,0
2026-09-09T20:44:53.346Z,0,0,0,1,3331,0
2026-09-09T20:44:58.339Z,0,0,0,1,3331,0
2026-09-09T20:45:03.345Z,0,0,0,1,3331,0
2026-09-09T20:45:08.354Z,0,0,0,1,3331,0
2026-09-09T20:45:13.349Z,0,0,0,1,3331,0
2026-09-09T20:45:18.351Z,0,0,0,1,3331,0
2026-09-09T20:45:23.356Z,0,0,0,1,3331,0
2026-09-09T20:45:28.361Z,0,0,0,1,3331,0
2026-09-09T20:45:33.342Z,0,0,0,1,3331,0
2026-09-09T20:45:38.391Z,0,0,0,1,3331,0
2026-09-09T20:45:43.361Z,0,0,0,1,3338,0
2026-09-09T20:45:48.396Z,0,0,0,1,3370,0
2026-09-09T20:45:53.350Z,0,0,0,1,3426,0
2026-09-09T20:45:58.355Z,0,0,0,1,3505,0
2026-09-09T20:46:03.394Z,0,0,0,1,3583,0
2026-09-09T20:46:08.376Z,0,1,1,1,3684,0
2026-09-09T20:46:13.390Z,0,0,0,1,3786,0
2026-09-09T20:46:18.390Z,0,1,1,1,3889,0
2026-09-09T20:46:23.389Z,0,1,1,1,3992,0
2026-09-09T20:46:28.389Z,0,1,1,1,4097,0
2026-09-09T20:46:33.389Z,0,0,0,1,4202,0
2026-09-09T20:46:38.387Z,0,1,1,1,4307,0
2026-09-09T20:46:43.431Z,0,0,0,1,4412,0
2026-09-09T20:46:48.398Z,0,0,0,1,4517,0
2026-09-09T20:46:53.386Z,0,0,0,1,4622,0
2026-09-09T20:46:58.373Z,0,1,1,1,4727,0
2026-09-09T20:47:03.385Z,0,0,0,1,4821,0
2026-09-09T20:47:08.386Z,0,0,0,1,4867,0
2026-09-09T20:47:13.394Z,0,0,0,1,4870,0
2026-09-09T20:47:18.398Z,0,0,0,1,4870,0
2026-09-09T20:47:23.349Z,0,0,0,1,4870,0
2026-09-09T20:47:28.351Z,0,0,0,1,4870,0
2026-09-09T20:47:33.382Z,0,0,0,1,4870,0
2026-09-09T20:47:38.351Z,0,0,0,1,4870,0
2026-09-09T20:47:43.383Z,0,0,0,1,4870,0
2026-09-09T20:47:48.381Z,0,0,0,1,4870,0
2026-09-09T20:47:53.357Z,0,0,0,1,4870,0
2026-09-09T20:47:58.355Z,0,0,0,1,4870,0
2026-09-09T20:48:03.360Z,0,0,0,1,4870,0
2026-09-09T20:48:08.380Z,0,0,0,1,4870,0
2026-09-09T20:48:13.381Z,0,0,0,1,4870,0
2026-09-09T20:48:18.353Z,0,0,0,1,4870,0
2026-09-09T20:48:23.378Z,0,0,0,1,4870,0
