timestamp,messages_ready,messages_unacknowledged,messages,consumers,publish_total,confirm_total
2026-09-10T18:18:11.576Z,0,0,0,1,1229,0
2026-09-10T18:18:16.514Z,0,0,0,1,1229,0
2026-09-10T18:18:21.534Z,0,0,0,1,1229,0
2026-09-10T18:18:26.534Z,0,0,0,1,1229,0
2026-09-10T18:18:31.526Z,0,0,0,1,1229,0
2026-09-10T18:18:36.516Z,0,0,0,1,1229,0
2026-09-10T18:18:41.517Z,0,0,0,1,1229,0
2026-09-10T18:18:46.512Z,0,0,0,1,1229,0
2026-09-10T18:18:51.521Z,0,0,0,1,1229,0
2026-09-10T18:18:56.524Z,0,0,0,1,1229,0
2026-09-10T18:19:01.512Z,0,0,0,1,1229,0
2026-09-10T18:19:06.531Z,0,0,0,1,1229,0
2026-09-10T18:19:11.545Z,0,0,0,1,1229,0
2026-09-10T18:19:16.528Z,0,0,0,1,1230,0
2026-09-10T18:19:21.561Z,0,0,0,1,1253,0
2026-09-10T18:19:26.525Z,0,0,0,1,1299,0
2026-09-10T18:19:31.533Z,0,0,0,1,1307,0
2026-09-10T18:19:36.543Z,0,0,0,1,1400,0
2026-09-10T18:19:41.526Z,0,1,1,1,1502,0
2026-09-10T18:19:46.559Z,0,0,0,1,1598,0
2026-09-10T18:19:51.528Z,0,1,1,1,1684,0
2026-09-10T18:19:56.555Z,0,1,1,1,1771,0
2026-09-10T18:20:01.568Z,0,1,1,1,1858,0
2026-09-10T18:20:06.535Z,0,1,1,1,1878,0
2026-09-10T18:20:11.532Z,0,1,1,1,1878,0
2026-09-10T18:20:16.532Z,0,1,1,1,1878,0
2026-09-10T18:20:21.530Z,0,0,0,1,1878,0
2026-09-10T18:20:26.529Z,0,0,0,1,1878,0
2026-09-10T18:20:31.544Z,0,0,0,1,1907,0
2026-09-10T18:20:36.521Z,0,0,0,1,1907,0
2026-09-10T18:20:41.535Z,0,0,0,1,1907,0
2026-09-10T18:20:46.539Z,0,0,0,1,1907,0
2026-09-10T18:20:51.544Z,0,0,0,1,1907,0
2026-09-10T18:20:56.554Z,0,0,0,1,1907,0
2026-09-10T18:21:01.531Z,0,0,0,1,1907,0
2026-09-10T18:21:06.549Z,0,0,0,1,1907,0
2026-09-10T18:21:11.564Z,0,0,0,1,1907,0
2026-09-10T18:21:16.532Z,0,0,0,1,1907,0
2026-09-10T18:21:21.530Z,0,0,0,1,1907,0
2026-09-10T18:21:26.553Z,0,0,0,1,1907,0
2026-09-10T18:21:31.527Z,0,0,0,1,1907,0
2026-09-10T18:21:36.545Z,0,0,0,1,1907,0
2026-09-10T18:21:41.540Z,0,0,0,1,1907,0
2026-09-10T18:21:46.532Z,0,0,0,1,1907,0
2026-09-10T18:21:51.555Z,0,0,0,1,1907,0
2026-09-10T18:21:56.529Z,0,0,0,1,1907,0
2026-09-10T18:22:01.547Z,0,0,0,1,1907,0
2026-09-10T18:22:06.527Z,0,0,0,1,1907,0
2026-09-10T18:22:11.557Z,0,0,0,1,1907,0
2026-09-10T18:22:16.544Z,0,0,0,1,1907,0
2026-09-10T18:22:21.547Z,0,0,0,1,1907,0
2026-09-10T18:22:26.569Z,0,0,0,1,1907,0
2026-09-10T18:22:31.537Z,0,0,0,1,1907,0
2026-09-10T18:22:36.557Z,0,0,0,1,1907,0
2026-09-10T18:22:41.534Z,0,0,0,1,1907,0
2026-09-10T18:22:46.552Z,0,0,0,1,1907,0
2026-09-10T18:22:51.562Z,0,0,0,1,1907,0
2026-09-10T18:22:56.553Z,0,0,0,1,1907,0
2026-09-10T18:23:01.559Z,0,0,0,1,1907,0
2026-09-10T18:23:06.553Z,0,0,0,1,1907,0
2026-09-10T18:23:11.541Z,0,0,0,1,1907,0
2026-09-10T18:23:16.572Z,0,0,0,1,1907,0
