timestamp,messages_ready,messages_unacknowledged,messages,publish_total,ack_total,consumers,consumer_capacity
2026-06-25T18:57:37Z,0,0,0,10859,11305,1,1.0
2026-06-25T18:57:44Z,0,0,0,10859,11305,1,1.0
2026-06-25T18:57:51Z,0,0,0,10859,11305,1,1.0
2026-06-25T18:57:58Z,0,0,0,10859,11305,1,1.0
2026-06-25T18:58:05Z,0,0,0,10859,11305,1,1.0
2026-06-25T18:58:12Z,0,0,0,10873,11319,1,1.0
2026-06-25T18:58:19Z,0,0,0,10912,11358,1,1.0
2026-06-25T18:58:26Z,0,0,0,11062,11507,1,1.0
2026-06-25T18:58:33Z,0,1,1,11169,11614,1,1.0
2026-06-25T18:58:40Z,0,1,1,11433,11878,1,1.0
2026-06-25T18:58:47Z,0,1,1,11591,12036,1,0.9999357220818004
2026-06-25T18:58:54Z,0,1,1,11765,12209,1,0.9999979942145446
2026-06-25T18:59:01Z,0,1,1,12162,12607,1,0.999727421463977
2026-06-25T18:59:08Z,0,1,1,12386,12831,1,0.9999864428127656
2026-06-25T18:59:15Z,0,1,1,12884,13328,1,0.873633287066804
2026-06-25T18:59:22Z,0,1,1,12937,13602,1,0.9869282733354939
2026-06-25T18:59:29Z,0,0,0,13227,13892,1,0.8829472454068642
2026-06-25T18:59:36Z,0,0,0,13547,14214,1,0.9952857790015175
2026-06-25T18:59:43Z,0,0,0,13547,14214,1,0.9998538963229667
