timestamp,messages_ready,messages_unacknowledged,messages,publish_total,ack_total,consumers,consumer_capacity
2026-06-25T18:11:27Z,0,0,0,1786,1829,1,1.0
2026-06-25T18:11:34Z,0,0,0,1786,1829,1,1.0
2026-06-25T18:11:41Z,0,0,0,1786,1829,1,1.0
2026-06-25T18:11:48Z,0,0,0,1786,1829,1,1.0
2026-06-25T18:11:55Z,0,0,0,1786,1829,1,1.0
2026-06-25T18:12:02Z,0,0,0,1798,1841,1,1.0
2026-06-25T18:12:09Z,0,0,0,1835,1878,1,1.0
2026-06-25T18:12:16Z,0,0,0,1980,2023,1,1.0
2026-06-25T18:12:23Z,0,0,0,2086,2129,1,1.0
2026-06-25T18:12:30Z,0,1,1,2348,2390,1,1.0
2026-06-25T18:12:37Z,0,1,1,2503,2546,1,1.0
2026-06-25T18:12:44Z,0,1,1,2676,2718,1,1.0
2026-06-25T18:12:51Z,0,0,0,3071,3113,1,1.0
2026-06-25T18:12:58Z,0,1,1,3293,3335,1,0.9999999942249096
2026-06-25T18:13:05Z,0,1,1,3788,3830,1,0.9999412299121305
2026-06-25T18:13:12Z,0,0,0,4061,4103,1,0.9859242045113076
2026-06-25T18:13:19Z,0,1,1,4350,4392,1,0.9963761620395993
2026-06-25T18:13:26Z,0,0,0,4461,4737,1,0.9954573198965773
2026-06-25T18:13:33Z,0,0,0,4462,4738,1,0.9999555751192436
