timestamp,messages_ready,messages_unacknowledged,messages,consumers,publish_total,confirm_total
2026-09-09T17:40:09.739Z,0,0,0,1,352,0
2026-09-09T17:40:14.708Z,0,0,0,1,352,0
2026-09-09T17:40:19.685Z,0,0,0,1,352,0
2026-09-09T17:40:24.720Z,0,0,0,1,352,0
2026-09-09T17:40:29.676Z,0,0,0,1,352,0
2026-09-09T17:40:34.684Z,0,0,0,1,352,0
2026-09-09T17:40:39.759Z,0,0,0,1,352,0
2026-09-09T17:40:44.688Z,0,0,0,1,352,0
2026-09-09T17:40:49.676Z,0,0,0,1,352,0
2026-09-09T17:40:54.689Z,0,0,0,1,352,0
2026-09-09T17:40:59.680Z,0,0,0,1,352,0
2026-09-09T17:41:04.693Z,0,0,0,1,352,0
2026-09-09T17:41:09.716Z,0,0,0,1,352,0
2026-09-09T17:41:14.703Z,0,0,0,1,352,0
2026-09-09T17:41:19.738Z,0,0,0,1,364,0
2026-09-09T17:41:24.761Z,0,0,0,1,402,0
2026-09-09T17:41:29.712Z,0,0,0,1,462,0
2026-09-09T17:41:34.708Z,0,0,0,1,548,0
2026-09-09T17:41:39.705Z,0,1,1,1,653,0
2026-09-09T17:41:44.705Z,0,1,1,1,777,0
2026-09-09T17:41:49.722Z,0,0,0,1,898,0
2026-09-09T17:41:54.701Z,0,0,0,1,994,0
2026-09-09T17:41:59.699Z,0,0,0,1,994,0
2026-09-09T17:42:04.701Z,0,0,0,1,994,0
2026-09-09T17:42:09.678Z,0,0,0,1,994,0
2026-09-09T17:42:14.723Z,0,0,0,1,994,0
2026-09-09T17:42:19.687Z,0,0,0,1,994,0
2026-09-09T17:42:24.699Z,0,0,0,1,1019,0
2026-09-09T17:42:29.680Z,0,0,0,1,1019,0
2026-09-09T17:42:34.698Z,0,0,0,1,1019,0
2026-09-09T17:42:39.681Z,0,0,0,1,1019,0
2026-09-09T17:42:44.697Z,0,0,0,1,1019,0
2026-09-09T17:42:49.683Z,0,0,0,1,1019,0
2026-09-09T17:42:54.720Z,0,0,0,1,1019,0
2026-09-09T17:42:59.718Z,0,0,0,1,1019,0
2026-09-09T17:43:04.702Z,0,0,0,1,1019,0
2026-09-09T17:43:09.688Z,0,0,0,1,1019,0
2026-09-09T17:43:14.717Z,0,0,0,1,1019,0
2026-09-09T17:43:19.690Z,0,0,0,1,1019,0
2026-09-09T17:43:24.695Z,0,0,0,1,1019,0
2026-09-09T17:43:29.712Z,0,0,0,1,1019,0
2026-09-09T17:43:34.752Z,0,0,0,1,1019,0
2026-09-09T17:43:39.701Z,0,0,0,1,1019,0
2026-09-09T17:43:44.693Z,0,0,0,1,1019,0
2026-09-09T17:43:49.696Z,0,0,0,1,1019,0
2026-09-09T17:43:54.706Z,0,0,0,1,1019,0
2026-09-09T17:43:59.687Z,0,0,0,1,1019,0
2026-09-09T17:44:04.698Z,0,0,0,1,1019,0
2026-09-09T17:44:09.710Z,0,0,0,1,1019,0
2026-09-09T17:44:14.688Z,0,0,0,1,1019,0
2026-09-09T17:44:19.705Z,0,0,0,1,1019,0
2026-09-09T17:44:24.724Z,0,0,0,1,1019,0
2026-09-09T17:44:29.690Z,0,0,0,1,1019,0
2026-09-09T17:44:34.747Z,0,0,0,1,1019,0
2026-09-09T17:44:39.683Z,0,0,0,1,1019,0
2026-09-09T17:44:44.702Z,0,0,0,1,1019,0
2026-09-09T17:44:49.703Z,0,0,0,1,1019,0
2026-09-09T17:44:54.706Z,0,0,0,1,1019,0
2026-09-09T17:44:59.702Z,0,0,0,1,1019,0
2026-09-09T17:45:04.746Z,0,0,0,1,1019,0
2026-09-09T17:45:09.720Z,0,0,0,1,1019,0
2026-09-09T17:45:14.704Z,0,0,0,1,1019,0
2026-09-09T17:45:19.705Z,0,0,0,1,1019,0
2026-09-09T17:45:24.744Z,0,0,0,1,1019,0
2026-09-09T17:45:29.696Z,0,0,0,1,1019,0
2026-09-09T17:45:34.722Z,0,0,0,1,1019,0
2026-09-09T17:45:39.700Z,0,0,0,1,1019,0
2026-09-09T17:45:44.715Z,0,0,0,1,1019,0
2026-09-09T17:45:49.706Z,0,0,0,1,1019,0
2026-09-09T17:45:54.698Z,0,0,0,1,1019,0
2026-09-09T17:45:59.707Z,0,0,0,1,1019,0
2026-09-09T17:46:04.707Z,0,0,0,1,1019,0
2026-09-09T17:46:09.702Z,0,0,0,1,1019,0
2026-09-09T17:46:14.740Z,0,0,0,1,1019,0
2026-09-09T17:46:19.723Z,0,0,0,1,1019,0
2026-09-09T17:46:24.738Z,0,0,0,1,1019,0
2026-09-09T17:46:29.728Z,0,0,0,1,1019,0
2026-09-09T17:46:34.739Z,0,0,0,1,1019,0
2026-09-09T17:46:39.713Z,0,0,0,1,1019,0
2026-09-09T17:46:44.744Z,0,0,0,1,1019,0
2026-09-09T17:46:49.705Z,0,0,0,1,1019,0
2026-09-09T17:46:54.710Z,0,0,0,1,1019,0
2026-09-09T17:46:59.713Z,0,0,0,1,1019,0
2026-09-09T17:47:04.737Z,0,0,0,1,1019,0
2026-09-09T17:47:09.701Z,0,0,0,1,1019,0
2026-09-09T17:47:14.737Z,0,0,0,1,1019,0
2026-09-09T17:47:19.717Z,0,0,0,1,1019,0
2026-09-09T17:47:24.735Z,0,0,0,1,1019,0
2026-09-09T17:47:29.704Z,0,0,0,1,1019,0
2026-09-09T17:47:34.699Z,0,0,0,1,1019,0
2026-09-09T17:47:39.699Z,0,0,0,1,1019,0
2026-09-09T17:47:44.734Z,0,0,0,1,1019,0
2026-09-09T17:47:49.716Z,0,0,0,1,1019,0
2026-09-09T17:47:54.743Z,0,0,0,1,1019,0
2026-09-09T17:47:59.695Z,0,0,0,1,1019,0
2026-09-09T17:48:04.731Z,0,0,0,1,1019,0
2026-09-09T17:48:09.704Z,0,0,0,1,1019,0
2026-09-09T17:48:14.724Z,0,0,0,1,1019,0
2026-09-09T17:48:19.731Z,0,0,0,1,1019,0
2026-09-09T17:48:24.731Z,0,0,0,1,1019,0
2026-09-09T17:48:29.717Z,0,0,0,1,1019,0
2026-09-09T17:48:34.731Z,0,0,0,1,1019,0
2026-09-09T17:48:39.711Z,0,0,0,1,1019,0
2026-09-09T17:48:44.730Z,0,0,0,1,1019,0
2026-09-09T17:48:49.722Z,0,0,0,1,1019,0
2026-09-09T17:48:54.729Z,0,0,0,1,1019,0
2026-09-09T17:48:59.718Z,0,0,0,1,1019,0
2026-09-09T17:49:04.735Z,0,0,0,1,1019,0
2026-09-09T17:49:09.713Z,0,0,0,1,1019,0
2026-09-09T17:49:14.726Z,0,0,0,1,1019,0
2026-09-09T17:49:19.722Z,0,0,0,1,1019,0
2026-09-09T17:49:24.727Z,0,0,0,1,1019,0
2026-09-09T17:49:29.726Z,0,0,0,1,1019,0
2026-09-09T17:49:34.725Z,0,0,0,1,1019,0
2026-09-09T17:49:39.716Z,0,0,0,1,1019,0
2026-09-09T17:49:44.733Z,0,0,0,1,1019,0
2026-09-09T17:49:49.737Z,0,0,0,1,1019,0
2026-09-09T17:49:54.767Z,0,0,0,1,1019,0
2026-09-09T17:49:59.730Z,0,0,0,1,1019,0
2026-09-09T17:50:04.767Z,0,0,0,1,1019,0
2026-09-09T17:50:09.706Z,0,0,0,1,1019,0
2026-09-09T17:50:14.723Z,0,0,0,1,1019,0
2026-09-09T17:50:19.714Z,0,0,0,1,1019,0
2026-09-09T17:50:24.765Z,0,0,0,1,1019,0
2026-09-09T17:50:29.733Z,0,0,0,1,1019,0
2026-09-09T17:50:34.727Z,0,0,0,1,1019,0
2026-09-09T17:50:39.829Z,0,0,0,1,1019,0
2026-09-09T17:50:44.763Z,0,0,0,1,1019,0
2026-09-09T17:50:49.751Z,0,0,0,1,1019,0
2026-09-09T17:50:54.726Z,0,0,0,1,1019,0
2026-09-09T17:50:59.730Z,0,0,0,1,1019,0
2026-09-09T17:51:04.732Z,0,0,0,1,1019,0
2026-09-09T17:51:09.714Z,0,0,0,1,1019,0
2026-09-09T17:51:14.734Z,0,0,0,1,1019,0
2026-09-09T17:51:19.750Z,0,0,0,1,1019,0
2026-09-09T17:51:24.774Z,0,0,0,1,1019,0
2026-09-09T17:51:29.709Z,0,0,0,1,1019,0
2026-09-09T17:51:34.760Z,0,0,0,1,1019,0
2026-09-09T17:51:39.720Z,0,0,0,1,1019,0
2026-09-09T17:51:44.730Z,0,0,0,1,1019,0
2026-09-09T17:51:49.741Z,0,0,0,1,1019,0
2026-09-09T17:51:54.759Z,0,0,0,1,1019,0
2026-09-09T17:51:59.723Z,0,0,0,1,1019,0
2026-09-09T17:52:04.759Z,0,0,0,1,1019,0
2026-09-09T17:52:09.736Z,0,0,0,1,1019,0
2026-09-09T17:52:14.771Z,0,0,0,1,1019,0
2026-09-09T17:52:19.714Z,0,0,0,1,1019,0
2026-09-09T17:52:24.757Z,0,0,0,1,1019,0
2026-09-09T17:52:29.730Z,0,0,0,1,1019,0
2026-09-09T17:52:34.756Z,0,0,0,1,1019,0
2026-09-09T17:52:39.732Z,0,0,0,1,1019,0
2026-09-09T17:52:44.788Z,0,0,0,1,1019,0
2026-09-09T17:52:49.753Z,0,0,0,1,1019,0
2026-09-09T17:52:54.755Z,0,0,0,1,1019,0
2026-09-09T17:52:59.733Z,0,0,0,1,1019,0
2026-09-09T17:53:04.754Z,0,0,0,1,1019,0
2026-09-09T17:53:09.738Z,0,0,0,1,1019,0
2026-09-09T17:53:14.726Z,0,0,0,1,1019,0
2026-09-09T17:53:19.724Z,0,0,0,1,1019,0
2026-09-09T17:53:24.752Z,0,0,0,1,1019,0
2026-09-09T17:53:29.726Z,0,0,0,1,1019,0
2026-09-09T17:53:34.726Z,0,0,0,1,1019,0
2026-09-09T17:53:39.724Z,0,0,0,1,1019,0
2026-09-09T17:53:44.751Z,0,0,0,1,1019,0
2026-09-09T17:53:49.720Z,0,0,0,1,1019,0
2026-09-09T17:53:54.750Z,0,0,0,1,1019,0
2026-09-09T17:53:59.731Z,0,0,0,1,1019,0
2026-09-09T17:54:04.750Z,0,0,0,1,1019,0
2026-09-09T17:54:09.727Z,0,0,0,1,1019,0
2026-09-09T17:54:14.748Z,0,0,0,1,1019,0
