timestamp,messages_ready,messages_unacknowledged,messages,publish_total,ack_total,consumers,consumer_capacity
2026-06-25T18:01:23Z,0,0,0,0,0,1,1.0
2026-06-25T18:01:30Z,0,0,0,0,0,1,1.0
2026-06-25T18:01:37Z,0,0,0,0,0,1,1.0
2026-06-25T18:01:44Z,0,0,0,0,0,1,1.0
2026-06-25T18:01:51Z,0,0,0,0,0,1,1.0
2026-06-25T18:01:58Z,0,0,0,1,1,1,1.0
2026-06-25T18:02:05Z,0,0,0,15,15,1,1.0
2026-06-25T18:02:12Z,0,0,0,24,23,1,1.0
2026-06-25T18:02:19Z,0,0,0,33,33,1,1.0
2026-06-25T18:02:26Z,0,0,0,60,60,1,1.0
2026-06-25T18:02:33Z,0,0,0,78,78,1,1.0
2026-06-25T18:02:40Z,0,0,0,119,119,1,1.0
2026-06-25T18:02:47Z,0,0,0,144,144,1,1.0
2026-06-25T18:02:54Z,0,1,1,171,171,1,1.0
2026-06-25T18:03:01Z,0,1,1,233,233,1,1.0
2026-06-25T18:03:08Z,0,1,1,268,268,1,1.0
2026-06-25T18:03:15Z,0,0,0,343,343,1,1.0
2026-06-25T18:03:22Z,0,0,0,344,366,1,1.0
2026-06-25T18:03:29Z,0,0,0,348,370,1,1.0
