timestamp,messages_ready,messages_unacknowledged,messages,consumers,publish_total,confirm_total
2026-09-21T00:38:06.735Z,0,0,0,1,7067,0
2026-09-21T00:38:11.682Z,0,0,0,1,7067,0
2026-09-21T00:38:16.663Z,0,0,0,1,7067,0
2026-09-21T00:38:21.669Z,0,0,0,1,7067,0
2026-09-21T00:38:26.680Z,0,0,0,1,7067,0
2026-09-21T00:38:31.665Z,0,0,0,1,7067,0
2026-09-21T00:38:36.666Z,0,0,0,1,7067,0
2026-09-21T00:38:41.707Z,0,0,0,1,7067,0
2026-09-21T00:38:46.734Z,0,0,0,1,7067,0
2026-09-21T00:38:51.658Z,0,0,0,1,7067,0
2026-09-21T00:38:56.670Z,0,0,0,1,7067,0
2026-09-21T00:39:01.669Z,0,0,0,1,7067,0
2026-09-21T00:39:06.768Z,0,0,0,1,7067,0
2026-09-21T00:39:11.733Z,0,0,0,1,7067,0
2026-09-21T00:39:16.714Z,0,0,0,1,7083,0
2026-09-21T00:39:21.704Z,0,0,0,1,7124,0
2026-09-21T00:39:26.689Z,0,0,0,1,7188,0
2026-09-21T00:39:31.697Z,0,0,0,1,7276,0
2026-09-21T00:39:36.685Z,0,1,1,1,7376,0
2026-09-21T00:39:41.695Z,0,0,0,1,7410,0
2026-09-21T00:39:46.772Z,0,0,0,1,7495,0
2026-09-21T00:39:51.704Z,0,0,0,1,7585,0
2026-09-21T00:39:56.732Z,0,0,0,1,7678,0
2026-09-21T00:40:01.735Z,0,0,0,1,7768,0
2026-09-21T00:40:06.705Z,0,0,0,1,7861,0
2026-09-21T00:40:11.681Z,0,0,0,1,7951,0
2026-09-21T00:40:16.690Z,0,0,0,1,7998,0
2026-09-21T00:40:21.687Z,0,0,0,1,7998,0
2026-09-21T00:40:26.699Z,0,0,0,1,7998,0
2026-09-21T00:40:31.676Z,0,0,0,1,7998,0
2026-09-21T00:40:36.695Z,0,0,0,1,7998,0
2026-09-21T00:40:41.741Z,0,0,0,1,8022,0
2026-09-21T00:40:46.786Z,0,0,0,1,8023,0
2026-09-21T00:40:51.672Z,0,0,0,1,8023,0
2026-09-21T00:40:56.695Z,0,0,0,1,8023,0
2026-09-21T00:41:01.684Z,0,0,0,1,8023,0
2026-09-21T00:41:06.692Z,0,0,0,1,8023,0
2026-09-21T00:41:11.807Z,0,0,0,1,8024,0
2026-09-21T00:41:16.716Z,0,0,0,1,8024,0
2026-09-21T00:41:21.723Z,0,0,0,1,8024,0
2026-09-21T00:41:26.684Z,0,0,0,1,8024,0
2026-09-21T00:41:31.685Z,0,0,0,1,8024,0
2026-09-21T00:41:36.718Z,0,0,0,1,8024,0
2026-09-21T00:41:41.691Z,0,0,0,1,8024,0
2026-09-21T00:41:46.753Z,0,0,0,1,8024,0
2026-09-21T00:41:51.694Z,0,0,0,1,8024,0
2026-09-21T00:41:56.703Z,0,0,0,1,8024,0
2026-09-21T00:42:01.688Z,0,0,0,1,8024,0
2026-09-21T00:42:06.711Z,0,0,0,1,8024,0
2026-09-21T00:42:11.739Z,0,0,0,1,8024,0
2026-09-21T00:42:16.681Z,0,0,0,1,8024,0
2026-09-21T00:42:21.679Z,0,0,0,1,8024,0
