timestamp,messages_ready,messages_unacknowledged,messages,publish_total,ack_total,consumers,consumer_capacity
2026-06-25T18:33:06Z,0,0,0,4798,5108,1,1.0
2026-06-25T18:33:13Z,0,0,0,4798,5108,1,1.0
2026-06-25T18:33:20Z,0,0,0,4798,5108,1,1.0
2026-06-25T18:33:27Z,0,0,0,4798,5108,1,1.0
2026-06-25T18:33:34Z,0,0,0,4798,5108,1,1.0
2026-06-25T18:33:41Z,0,0,0,4808,5118,1,1.0
2026-06-25T18:33:48Z,0,0,0,4830,5140,1,1.0
2026-06-25T18:33:55Z,0,1,1,4864,5173,1,1.0
2026-06-25T18:34:02Z,0,0,0,4962,5272,1,1.0
2026-06-25T18:34:09Z,0,0,0,5025,5335,1,1.0
2026-06-25T18:34:16Z,0,0,0,5175,5485,1,1.0
2026-06-25T18:34:23Z,0,1,1,5263,5572,1,1.0
2026-06-25T18:34:30Z,0,0,0,5463,5773,1,1.0
2026-06-25T18:34:37Z,0,1,1,5576,5886,1,1.0
2026-06-25T18:34:44Z,0,0,0,5697,6007,1,1.0
2026-06-25T18:34:51Z,0,1,1,5964,6274,1,1.0
2026-06-25T18:34:58Z,0,0,0,6110,6419,1,1.0
2026-06-25T18:35:05Z,0,0,0,6221,6531,1,1.0
2026-06-25T18:35:12Z,0,0,0,6257,6567,1,1.0
