FIRST_OBSERVED	LAST_OBSERVED	TYPE	REASON	OBJECT	COUNT	MESSAGE
2026-09-21T23:29:15Z	2026-09-21T23:29:15Z	Normal	Scheduled	Pod/k6-c4-exploratory-002-mtvvr	1	Successfully assigned flash-sale/k6-c4-exploratory-002-mtvvr to desktop-control-plane
2026-09-21T23:29:15Z	2026-09-21T23:29:15Z	Normal	SuccessfulCreate	Job/k6-c4-exploratory-002	1	Created pod: k6-c4-exploratory-002-mtvvr
2026-09-21T23:29:16Z	2026-09-21T23:29:16Z	Normal	Pulled	Pod/k6-c4-exploratory-002-mtvvr	1	Container image "grafana/k6@sha256:632ddbc81a4a9fdc9e597da91ab1d8fcf1916dd988b43b4a4559d2f8d8e73d47" already present on machine
2026-09-21T23:29:16Z	2026-09-21T23:29:16Z	Normal	Created	Pod/k6-c4-exploratory-002-mtvvr	1	Created container: k6
2026-09-21T23:29:16Z	2026-09-21T23:29:16Z	Normal	Started	Pod/k6-c4-exploratory-002-mtvvr	1	Started container k6
2026-09-21T23:29:52Z	2026-09-21T23:29:52Z	Normal	Scheduled	Pod/api-5b87c4c9d-blcpn	1	Successfully assigned flash-sale/api-5b87c4c9d-blcpn to desktop-control-plane
2026-09-21T23:29:52Z	2026-09-21T23:29:52Z	Normal	Pulled	Pod/api-5b87c4c9d-blcpn	1	Container image "flash-sale-api:k8s@sha256:cfc9679dc692b2e2f85d204a5c732edc4fe64bb925e579e8a55a84517811dd46" already present on machine
2026-09-21T23:29:52Z	2026-09-21T23:29:52Z	Normal	Scheduled	Pod/api-5b87c4c9d-lvgtq	1	Successfully assigned flash-sale/api-5b87c4c9d-lvgtq to desktop-control-plane
2026-09-21T23:29:52Z	2026-09-21T23:29:52Z	Normal	Pulled	Pod/api-5b87c4c9d-lvgtq	1	Container image "flash-sale-api:k8s@sha256:cfc9679dc692b2e2f85d204a5c732edc4fe64bb925e579e8a55a84517811dd46" already present on machine
2026-09-21T23:29:52Z	2026-09-21T23:29:52Z	Normal	SuccessfulCreate	ReplicaSet/api-5b87c4c9d	1	Created pod: api-5b87c4c9d-blcpn
2026-09-21T23:29:52Z	2026-09-21T23:29:52Z	Normal	SuccessfulCreate	ReplicaSet/api-5b87c4c9d	1	Created pod: api-5b87c4c9d-lvgtq
2026-09-21T23:03:20Z	2026-09-21T23:29:52Z	Normal	SuccessfulRescale	HorizontalPodAutoscaler/api-hpa	3	New size: 3; reason: cpu resource utilization (percentage of request) above target
2026-09-21T23:29:53Z	2026-09-21T23:29:53Z	Normal	Created	Pod/api-5b87c4c9d-blcpn	1	Created container: api
2026-09-21T23:29:53Z	2026-09-21T23:29:53Z	Normal	Started	Pod/api-5b87c4c9d-blcpn	1	Started container api
2026-09-21T23:29:53Z	2026-09-21T23:29:53Z	Normal	Created	Pod/api-5b87c4c9d-lvgtq	1	Created container: api
2026-09-21T23:29:53Z	2026-09-21T23:29:53Z	Normal	Started	Pod/api-5b87c4c9d-lvgtq	1	Started container api
2026-09-21T23:29:57Z	2026-09-21T23:30:02Z	Warning	Unhealthy	Pod/api-5b87c4c9d-blcpn	2	Startup probe failed: Get "http://10.244.0.34:8000/health": dial tcp 10.244.0.34:8000: connect: connection refused
2026-09-21T23:29:57Z	2026-09-21T23:30:02Z	Warning	Unhealthy	Pod/api-5b87c4c9d-lvgtq	2	Startup probe failed: Get "http://10.244.0.35:8000/health": dial tcp 10.244.0.35:8000: connect: connection refused
2026-09-21T23:30:22Z	2026-09-21T23:30:22Z	Normal	Scheduled	Pod/api-5b87c4c9d-c7kjs	1	Successfully assigned flash-sale/api-5b87c4c9d-c7kjs to desktop-control-plane
2026-09-21T23:30:22Z	2026-09-21T23:30:22Z	Normal	Scheduled	Pod/api-5b87c4c9d-h2npq	1	Successfully assigned flash-sale/api-5b87c4c9d-h2npq to desktop-control-plane
2026-09-21T23:30:22Z	2026-09-21T23:30:22Z	Normal	SuccessfulCreate	ReplicaSet/api-5b87c4c9d	1	Created pod: api-5b87c4c9d-h2npq
2026-09-21T23:30:22Z	2026-09-21T23:30:22Z	Normal	SuccessfulCreate	ReplicaSet/api-5b87c4c9d	1	Created pod: api-5b87c4c9d-c7kjs
2026-09-21T23:13:36Z	2026-09-21T23:30:22Z	Normal	SuccessfulRescale	HorizontalPodAutoscaler/api-hpa	2	New size: 5; reason: cpu resource utilization (percentage of request) above target
2026-09-21T23:09:35Z	2026-09-21T23:30:22Z	Normal	ScalingReplicaSet	Deployment/api	6	(combined from similar events): Scaled up replica set api-5b87c4c9d from 3 to 5
2026-09-21T23:30:23Z	2026-09-21T23:30:23Z	Normal	Pulled	Pod/api-5b87c4c9d-c7kjs	1	Container image "flash-sale-api:k8s@sha256:cfc9679dc692b2e2f85d204a5c732edc4fe64bb925e579e8a55a84517811dd46" already present on machine
2026-09-21T23:30:23Z	2026-09-21T23:30:23Z	Normal	Created	Pod/api-5b87c4c9d-c7kjs	1	Created container: api
2026-09-21T23:30:23Z	2026-09-21T23:30:23Z	Normal	Started	Pod/api-5b87c4c9d-c7kjs	1	Started container api
